{Argentina}	{13834000}	{Buenos Aires100}	{100}
{Argentina}	{13834000}	{Buenos Aires1}	{1}
{Argentina}	{13834000}	{Buenos Aires2}	{2}
{Argentina}	{13834000}	{Buenos Aires3}	{3}
{Argentina}	{13834000}	{Buenos Aires7}	{7}
{Argentina}	{13834000}	{Buenos Aires4}	{4}
{Argentina}	{13834000}	{Buenos Aires6}	{6}
{Argentina}	{13834000}	{Buenos Aires5}	{5}
{Argentina}	{13834000}	{Buenos Aires8}	{9}
{Argentina}	{13834000}	{Buenos Aires81}	{8}
{Bangladesh}	{18237000}	{Dhaka}	{18237000}
{Brazil}	{34223939}	{São Paulo}	{21242939}
{Brazil}	{34223939}	{Rio de Janeiro}	{12981000}
{China}	{260600000}	{Shanghai}	{34000000}
{China}	{260600000}	{Guangzhou}	{25000000}
{China}	{260600000}	{Beijing}	{24900000}
{China}	{260600000}	{Shenzhen}	{23300000}
{China}	{260600000}	{Wuhan}	{19000000}
{China}	{260600000}	{Chengdu}	{18100000}
{China}	{260600000}	{Chongqing}	{17000000}
{China}	{260600000}	{Tianjin}	{15400000}
{China}	{260600000}	{Hangzhou}	{13400000}
{China}	{260600000}	{Xi'an}	{12900000}
{China}	{260600000}	{Changzhou}	{12400000}
{China}	{260600000}	{Shantou}	{12000000}
{China}	{260600000}	{Nanjing}	{11700000}
{China}	{260600000}	{Jinan}	{11000000}
{China}	{260600000}	{Harbin}	{10500000}
{Colombia}	{10350000}	{Bogotá}	{10350000}
{Democratic Republic of Congo}	{12350000}	{Kinshasa}	{12350000}
{Egypt}	{19128000}	{Cairo}	{19128000}
{France}	{12405426}	{Paris}	{12405426}
{Germany}	{12190000}	{Rhine-Ruhr}	{12190000}
{India}	{87723000}	{Delhi}	{27200000}
{India}	{87723000}	{Mumbai}	{23900000}
{India}	{87723000}	{Kolkata}	{14423000}
{India}	{87723000}	{Bangalore}	{11500000}
{India}	{87723000}	{Chennai}	{10700000}
{Indonesia}	{31500000}	{Jakarta}	{31500000}
{Iran}	{14000000}	{Tehran}	{14000000}
{Japan}	{68582000}	{Tokyo}	{38140000}
{Japan}	{68582000}	{Kyoto-Osaka-Kobe (Keihanshin)}	{20337000}
{Japan}	{68582000}	{Nagoya}	{10105000}
{Mexico}	{21157000}	{Mexico City}	{21157000}
{Nigeria}	{21000000}	{Lagos}	{21000000}
{Pakistan}	{29100000}	{Karachi}	{16900000}
{Pakistan}	{29100000}	{Lahore}	{12200000}
{Peru}	{10072000}	{Lima}	{10072000}
{Philippines}	{24100000}	{Manila}	{24100000}
{Russia}	{17100000}	{Moscow}	{17100000}
{South Korea}	{25600000}	{Seoul}	{25600000}
{Thailand}	{15931300}	{Bangkok}	{15931300}
{Turkey}	{14600000}	{Istanbul}	{14600000}
{United Kingdom}	{13842667}	{London}	{13842667}
{United States}	{23876155}	{New York}	{23876155}
{United States48}	{10912421}	{New York48}	{10912421}
{United States49}	{53698729}	{New York49}	{53698729}
{United States50}	{89909992}	{New York50}	{89909992}
{United States51}	{26412852}	{New York51}	{26412852}
{United States52}	{13476990}	{New York52}	{13476990}
{United States53}	{45167417}	{New York53}	{45167417}
{United States54}	{99241780}	{New York54}	{99241780}
{United States55}	{18804041}	{New York55}	{18804041}
{United States56}	{82830813}	{New York56}	{82830813}
{United States57}	{69122804}	{New York57}	{69122804}
{United States58}	{71413175}	{New York58}	{71413175}
{United States59}	{46500915}	{New York59}	{46500915}
{United States60}	{91941697}	{New York60}	{91941697}
{United States61}	{20476042}	{New York61}	{20476042}
{United States62}	{54737711}	{New York62}	{54737711}
{United States63}	{56886543}	{New York63}	{56886543}
{United States64}	{81407163}	{New York64}	{81407163}
{United States65}	{50838860}	{New York65}	{50838860}
{United States66}	{64380098}	{New York66}	{64380098}
{United States67}	{73232509}	{New York67}	{73232509}
{United States68}	{72703915}	{New York68}	{72703915}
{United States69}	{43627867}	{New York69}	{43627867}
{United States70}	{45522151}	{New York70}	{45522151}
{United States71}	{64447767}	{New York71}	{64447767}
{United States72}	{72015353}	{New York72}	{72015353}
{United States73}	{54356863}	{New York73}	{54356863}
{United States74}	{33988397}	{New York74}	{33988397}
{United States75}	{22998447}	{New York75}	{22998447}
{United States76}	{82476911}	{New York76}	{82476911}
{United States77}	{65595732}	{New York77}	{65595732}
{United States78}	{52228433}	{New York78}	{52228433}
{United States79}	{20956870}	{New York79}	{20956870}
{United States80}	{97961647}	{New York80}	{97961647}
{United States81}	{28238796}	{New York81}	{28238796}
{United States82}	{49357489}	{New York82}	{49357489}
{United States83}	{87723146}	{New York83}	{87723146}
{United States84}	{25294011}	{New York84}	{25294011}
{United States85}	{31300979}	{New York85}	{31300979}
{United States86}	{23566316}	{New York86}	{23566316}
{United States87}	{52690447}	{New York87}	{52690447}
{United States88}	{75514003}	{New York88}	{75514003}
{United States89}	{46453592}	{New York89}	{46453592}
{United States90}	{20350527}	{New York90}	{20350527}
{United States91}	{82271740}	{New York91}	{82271740}
{United States92}	{28140864}	{New York92}	{28140864}
{United States93}	{88431938}	{New York93}	{88431938}
{United States94}	{14521925}	{New York94}	{14521925}
