{Argentina}	{13834000}	{0.00084529}	{Buenos Aires100}	{100}	{0.048978025}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires1}	{1}	{0.032187902}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires2}	{2}	{0.049293778}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires3}	{3}	{0.139053403}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires7}	{7}	{0.0834549}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires4}	{4}	{0.095888959}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires6}	{6}	{0.078414559}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires5}	{5}	{0.196610004}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires8}	{8}	{0.152109052}
{Argentina}	{13834000}	{0.00084529}	{Buenos Aires81}	{8}	{0.05585051}
{Bangladesh}	{18237000}	{0.001611178}	{Dhaka}	{18237000}	{0.980748903}
{Brazil}	{34223939}	{0.002062925}	{São Paulo}	{21242939}	{0.301765699}
{Brazil}	{34223939}	{0.002062925}	{Rio de Janeiro}	{12981000}	{0.664282285}
{China}	{260600000}	{0.000996699}	{Shanghai}	{34000000}	{0.044052556}
{China}	{260600000}	{0.000996699}	{Guangzhou}	{25000000}	{0.07731169}
{China}	{260600000}	{0.000996699}	{Beijing}	{24900000}	{0.046671055}
{China}	{260600000}	{0.000996699}	{Shenzhen}	{23300000}	{0.048756041}
{China}	{260600000}	{0.000996699}	{Wuhan}	{19000000}	{0.069615074}
{China}	{260600000}	{0.000996699}	{Chengdu}	{18100000}	{0.110967916}
{China}	{260600000}	{0.000996699}	{Chongqing}	{17000000}	{0.047808707}
{China}	{260600000}	{0.000996699}	{Tianjin}	{15400000}	{0.04338366}
{China}	{260600000}	{0.000996699}	{Hangzhou}	{13400000}	{0.020678808}
{China}	{260600000}	{0.000996699}	{Xi'an}	{12900000}	{0.154085174}
{China}	{260600000}	{0.000996699}	{Changzhou}	{12400000}	{0.131171894}
{China}	{260600000}	{0.000996699}	{Shantou}	{12000000}	{0.02577618}
{China}	{260600000}	{0.000996699}	{Nanjing}	{11700000}	{0.018066971}
{China}	{260600000}	{0.000996699}	{Jinan}	{11000000}	{0.023810846}
{China}	{260600000}	{0.000996699}	{Harbin}	{10500000}	{0.04967048}
{Colombia}	{10350000}	{0.000614279}	{Bogotá}	{10350000}	{0.735586769}
{Democratic Republic of Congo}	{12350000}	{0.000504511}	{Kinshasa}	{12350000}	{0.609427304}
{Egypt}	{19128000}	{0.000875258}	{Cairo}	{19128000}	{0.593249648}
{France}	{12405426}	{0.000315272}	{Paris}	{12405426}	{0.644738484}
{Germany}	{12190000}	{0.000713876}	{Rhine-Ruhr}	{12190000}	{0.399749998}
{India}	{87723000}	{0.000397887}	{Delhi}	{27200000}	{0.120932131}
{India}	{87723000}	{0.000397887}	{Mumbai}	{23900000}	{0.184732671}
{India}	{87723000}	{0.000397887}	{Kolkata}	{14423000}	{0.239824711}
{India}	{87723000}	{0.000397887}	{Bangalore}	{11500000}	{0.076277863}
{India}	{87723000}	{0.000397887}	{Chennai}	{10700000}	{0.24619381}
{Indonesia}	{31500000}	{0.001096687}	{Jakarta}	{31500000}	{0.292811381}
{Iran}	{14000000}	{0.000345846}	{Tehran}	{14000000}	{0.678468289}
{Japan}	{68582000}	{0.000720326}	{Tokyo}	{38140000}	{0.522846543}
{Japan}	{68582000}	{0.000720326}	{Kyoto-Osaka-Kobe (Keihanshin)}	{20337000}	{0.366403938}
{Japan}	{68582000}	{0.000720326}	{Nagoya}	{10105000}	{0.040299609}
{Mexico}	{21157000}	{0.00088227}	{Mexico City}	{21157000}	{0.621365467}
{Nigeria}	{21000000}	{0.001349271}	{Lagos}	{21000000}	{0.774275129}
{Pakistan}	{29100000}	{0.001033306}	{Karachi}	{16900000}	{0.255065579}
{Pakistan}	{29100000}	{0.001033306}	{Lahore}	{12200000}	{0.367579267}
{Peru}	{10072000}	{0.000307322}	{Lima}	{10072000}	{0.704145002}
{Philippines}	{24100000}	{0.000238662}	{Manila}	{24100000}	{0.5885691}
{Russia}	{17100000}	{0.000988934}	{Moscow}	{17100000}	{0.621726204}
{South Korea}	{25600000}	{0.000551359}	{Seoul}	{25600000}	{0.44110206}
{Thailand}	{15931300}	{0.002883848}	{Bangkok}	{15931300}	{0.854514855}
{Turkey}	{14600000}	{0.000225138}	{Istanbul}	{14600000}	{0.567307216}
{United Kingdom}	{13842667}	{0.000690606}	{London}	{13842667}	{0.530583341}
{United States}	{23876155}	{0.000336295}	{New York}	{23876155}	{0.415100067}
{United States48}	{10912421}	{0.002624216}	{New York48}	{10912421}	{0.704041861}
{United States49}	{53698729}	{0.001474641}	{New York49}	{53698729}	{0.719341695}
{United States50}	{89909992}	{0.002623702}	{New York50}	{89909992}	{0.922796791}
{United States51}	{26412852}	{0.000572208}	{New York51}	{26412852}	{0.733791524}
{United States52}	{13476990}	{0.000354994}	{New York52}	{13476990}	{0.812896238}
{United States53}	{45167417}	{0.000504005}	{New York53}	{45167417}	{0.862580849}
{United States54}	{99241780}	{0.000675358}	{New York54}	{99241780}	{0.709182997}
{United States55}	{18804041}	{0.000534054}	{New York55}	{18804041}	{0.665819782}
{United States56}	{82830813}	{0.001530961}	{New York56}	{82830813}	{0.411182587}
{United States57}	{69122804}	{0.000147438}	{New York57}	{69122804}	{0.82901294}
{United States58}	{71413175}	{0.000360425}	{New York58}	{71413175}	{0.889957058}
{United States59}	{46500915}	{0.000572534}	{New York59}	{46500915}	{0.138418417}
{United States60}	{91941697}	{0.000354278}	{New York60}	{91941697}	{0.501576247}
{United States61}	{20476042}	{0.000411296}	{New York61}	{20476042}	{0.45937207}
{United States62}	{54737711}	{0.000341063}	{New York62}	{54737711}	{0.647077612}
{United States63}	{56886543}	{0.000218333}	{New York63}	{56886543}	{0.986228806}
{United States64}	{81407163}	{0.002444002}	{New York64}	{81407163}	{0.838344116}
{United States65}	{50838860}	{0.000828307}	{New York65}	{50838860}	{0.65118539}
{United States66}	{64380098}	{0.00076926}	{New York66}	{64380098}	{0.662427755}
{United States67}	{73232509}	{0.000178814}	{New York67}	{73232509}	{0.616740851}
{United States68}	{72703915}	{0.001009844}	{New York68}	{72703915}	{0.382588239}
{United States69}	{43627867}	{0.000938102}	{New York69}	{43627867}	{0.374501818}
{United States70}	{45522151}	{0.001278421}	{New York70}	{45522151}	{0.612872344}
{United States71}	{64447767}	{0.000838053}	{New York71}	{64447767}	{0.730031931}
{United States72}	{72015353}	{0.002098234}	{New York72}	{72015353}	{0.914117451}
{United States73}	{54356863}	{0.001483095}	{New York73}	{54356863}	{0.659299489}
{United States74}	{33988397}	{0.000402699}	{New York74}	{33988397}	{0.394016304}
{United States75}	{22998447}	{0.000183573}	{New York75}	{22998447}	{0.656586055}
{United States76}	{82476911}	{0.001056605}	{New York76}	{82476911}	{0.799065676}
{United States77}	{65595732}	{0.001398886}	{New York77}	{65595732}	{0.3118586}
